election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2020-11-03,Consolidated General Election,17,20201201,2020-12-01T16:45:18,449866,411411,38455,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201201/summary.xml
2021-09-14,California Gubernatorial Recall Election,1,20210914_1,2021-09-14T20:46:28,246319,246319,0,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210914_1/summary.xml
2021-09-14,California Gubernatorial Recall Election,2,20210914_2,2021-09-14T21:41:00,261077,246319,14758,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210914_2/summary.xml
2021-09-14,California Gubernatorial Recall Election,3,20210914_3,2021-09-14T22:34:45,268166,246319,21847,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210914_3/summary.xml
2021-09-14,California Gubernatorial Recall Election,4,20210914_4,2021-09-14T23:27:42,268285,246319,21966,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210914_4/summary.xml
2021-09-14,California Gubernatorial Recall Election,5,20210915,2021-09-15T15:53:13,269473,247507,21966,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210915/summary.xml
2021-09-14,California Gubernatorial Recall Election,6,20210916,2021-09-16T15:52:40,295719,273753,21966,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210916/summary.xml
2021-09-14,California Gubernatorial Recall Election,7,20210917,2021-09-17T16:02:39,319577,297611,21966,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210917/summary.xml
2021-09-14,California Gubernatorial Recall Election,8,20210918,2021-09-18T15:27:48,330645,308679,21966,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210918/summary.xml
2021-09-14,California Gubernatorial Recall Election,9,20210920,2021-09-20T15:55:43,336626,308679,27947,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210920/summary.xml
2021-09-14,California Gubernatorial Recall Election,10,20210921,2021-09-21T16:13:14,340349,311610,28739,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210921/summary.xml
